RANK,Country,latitude,longitude,Happiness score,Whisker-high,Whisker-low,Dystopia (1.83) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,,,latitude,longitude,country
,,,,,,,,,,,,,,,,-24.143474,-10.030696,Saint Helena
,,,,,,,,,,,,,,,,46.151241,14.995463,Slovenia
,,,,,,,,,,,,,,,,77.553604,23.670272,Svalbard and Jan Mayen
,,,,,,,,,,,,,,,,48.669026,19.699024,Slovakia
,,,,,,,,,,,,,,,,8.460555,-11.779889,Sierra Leone
,,,,,,,,,,,,,,,,43.94236,12.457777,San Marino
,,,,,,,,,,,,,,,,14.497401,-14.452362,Senegal
,,,,,,,,,,,,,,,,5.152149,46.199616,Somalia
,,,,,,,,,,,,,,,,3.919305,-56.027783,Suriname
,,,,,,,,,,,,,,,,0.18636,6.613081,São Tomé and Príncipe
,,,,,,,,,,,,,,,,13.794185,-88.89653,El Salvador
,,,,,,,,,,,,,,,,34.802075,38.996815,Syria
,,,,,,,,,,,,,,,,-26.522503,31.465866,Swaziland
,,,,,,,,,,,,,,,,21.694025,-71.797928,Turks and Caicos Islands
,,,,,,,,,,,,,,,,15.454166,18.732207,Chad
,,,,,,,,,,,,,,,,-49.280366,69.348557,French Southern Territories
,,,,,,,,,,,,,,,,8.619543,0.824782,Togo
,,,,,,,,,,,,,,,,15.870032,100.992541,Thailand
,,,,,,,,,,,,,,,,38.861034,71.276093,Tajikistan
,,,,,,,,,,,,,,,,-8.967363,-171.855881,Tokelau
,,,,,,,,,,,,,,,,-8.874217,125.727539,Timor-Leste
,,,,,,,,,,,,,,,,38.969719,59.556278,Turkmenistan
,,,,,,,,,,,,,,,,33.886917,9.537499,Tunisia
,,,,,,,,,,,,,,,,-21.178986,-175.198242,Tonga
,,,,,,,,,,,,,,,,38.963745,35.243322,Turkey
,,,,,,,,,,,,,,,,10.691803,-61.222503,Trinidad and Tobago
,,,,,,,,,,,,,,,,-7.109535,177.64933,Tuvalu
,,,,,,,,,,,,,,,,23.69781,120.960515,Taiwan Province of China
,,,,,,,,,,,,,,,,-6.369028,34.888822,Tanzania
,,,,,,,,,,,,,,,,48.379433,31.16558,Ukraine
,,,,,,,,,,,,,,,,1.373333,32.290275,Uganda
,,,,,,,,,,,,,,,,,,U.S. Minor Outlying Islands
,,,,,,,,,,,,,,,,37.09024,-95.712891,United States
,,,,,,,,,,,,,,,,-32.522779,-55.765835,Uruguay
,,,,,,,,,,,,,,,,41.377491,64.585262,Uzbekistan
,,,,,,,,,,,,,,,,41.902916,12.453389,Vatican City
,,,,,,,,,,,,,,,,12.984305,-61.287228,Saint Vincent and the Grenadines
,,,,,,,,,,,,,,,,6.42375,-66.58973,Venezuela
,,,,,,,,,,,,,,,,18.420695,-64.639968,British Virgin Islands
,,,,,,,,,,,,,,,,18.335765,-64.896335,U.S. Virgin Islands
,,,,,,,,,,,,,,,,14.058324,108.277199,Vietnam
,,,,,,,,,,,,,,,,-15.376706,166.959158,Vanuatu
,,,,,,,,,,,,,,,,-13.768752,-177.156097,Wallis and Futuna
,,,,,,,,,,,,,,,,-13.759029,-172.104629,Samoa
,,,,,,,,,,,,,,,,42.602636,20.902977,Kosovo
,,,,,,,,,,,,,,,,15.552727,48.516388,Yemen
,,,,,,,,,,,,,,,,-12.8275,45.166244,Mayotte
,,,,,,,,,,,,,,,,-30.559482,22.937506,South Africa
,,,,,,,,,,,,,,,,-13.133897,27.849332,Zambia
,,,,,,,,,,,,,,,,-19.015438,29.154857,Zimbabwe
